"","company_name","status_label","year","current_assets","cogs","dep_amort","EBITDA","inventory","net_income","receivables","mkt_value","net_sales","total_assets","long_term_debt","EBIT","gross_profit","current_liabilities","ret_earnings","total_revenue","total_liab","total_op_exp","lag_total_assets","lag_total_revenue","working_capital","Altman_z","operating_income","ROA","current_ratio"
"1","C_1","alive",2005,624.454,704.081,29.222,91.877,323.592,35.163,136.272,882.6283,897.284,978.819,318.576,62.655,193.203,187.788,183.55,897.284,556.102,805.407,732.23,747.848,436.666,2.8781070593781,193.203,0.263855619136064,3.32531365156453
"2","C_2","alive",2005,853,681.1,67.2,159,140.5,110.7,233.7,2032.925,1169.2,1535,400,91.8,488.1,286.6,-648.5,1169.2,761.1,1010.2,1428.1,784.3,566.4,2.41299254165388,488.1,0.341782788320146,2.97627355198883
"3","C_3","alive",2005,7.726,14.013,0.177,1.856,3.921,1.9,2.704,19.7568,23.135,8.153,0,1.679,9.122,3.375,-7.073,23.135,3.49,21.279,6.245,19.833,4.351,6.3396361646547,9.122,1.46068855084067,2.28918518518519
"4","C_4","alive",2005,1037.047,150.257,67.106,163.101,92.741,133.769,90.898,1541.7638,553.617,1623.383,0.017,95.995,403.36,665.257,-175.285,553.617,705.305,390.516,2003.842,1339.48,371.79,1.9713974867928,403.36,0.201293315540846,1.55886672368724
"5","C_6","failed",2005,6164,16832,1164,1266,515,-861,991,4062.1324,20712,29495,13456,102,3880,8320,-3152,20712,30973,19446,28773,18645,-2156,0.554994912649396,3880,0.134848642824871,0.740865384615385
"6","C_7","alive",2005,21.795,64.509,1.179,4.704,6.662,-0.435,13.151,57.3588,81.521,42.9,12.847,3.525,17.012,18.193,-7.863,81.521,36.117,76.817,43.441,69.366,3.602,2.96844723239216,17.012,0.391611611150756,1.1979882372341
"7","C_8","alive",2005,262.803,229.243,24.412,62.582,118.906,17.041,101.317,626.7576,463.371,589.849,4.19,38.17,234.128,101.054,63.866,463.371,145.869,400.789,551.391,414.101,161.749,4.05780330373593,234.128,0.42461338687066,2.600619470778
"8","C_9","alive",2005,1203.772,1060.951,64.966,161.147,307.653,81.752,177.448,3048.2232,1333.208,1675.208,0,96.181,272.257,171.03,1160.826,1333.208,227.099,1172.061,1689.749,1283.202,1032.742,10.7486841195683,272.257,0.161122746632784,7.03836753785885
"9","C_10","alive",2005,1891.392,1986.452,347.652,1001.503,133.394,176.267,497.702,4096.007,2987.955,11322.645,2608.455,653.851,1001.503,2272.073,1358.832,2987.955,7897.681,1986.452,9896.747,2899.725,-380.681,0.893306913438712,1001.503,0.101195170493901,0.832452126318124
"10","C_11","alive",2005,11386.028,9012.172,1358.939,6194.338,2541.979,3372.065,3576.794,60692.0361,22287.808,29141.203,4571.504,4835.399,13275.636,7415.514,11150.066,22287.808,14725.932,16093.47,28767.494,19680.016,3970.514,4.48442553767785,13275.636,0.461480447341016,1.53543341702274
"11","C_12","alive",2005,13.236,9.801,0.87,-0.307,0.539,0.526,3.312,15.7174,18.183,52.41,21.29,-1.177,8.382,4.584,13.227,18.183,31.463,18.49,57.067,22.636,8.652,1.12398411788728,8.382,0.146879983177668,2.88743455497382
"12","C_14","failed",2005,131.64,258.989,1.291,13.45,51.722,10.015,51.057,181.6294,313.381,149.028,0,12.159,54.392,37.391,64.001,313.381,41.202,299.931,149.697,297.718,94.249,6.37718409919843,54.3919999999999,0.363347294868968,3.52063330748041
"13","C_17","alive",2005,23.865,26.95,0.641,7.484,12.53,2.937,9.392,48.6227,49.946,28.194,5.577,6.843,22.996,7.54,6.475,49.946,14.129,42.462,23.009,43.381,16.325,5.65361397902372,22.996,0.999435003694207,3.16511936339523
